Muscle Group,Exercise,Video Link (Male),Video Link (Female),Equipment,Difficulty
Biceps,Dumbbell Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-curl,https://musclewiki.com/dumbbells/female/biceps/dumbbell-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/male/biceps/dumbbell-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/female/biceps/dumbbell-curl"">Female</a> Dumbbells",Novice
Biceps,Dumbbell Hammer Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-hammer-curl,https://musclewiki.com/dumbbells/female/biceps/dumbbell-hammer-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/male/biceps/dumbbell-hammer-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/female/biceps/dumbbell-hammer-curl"">Female</a> Dumbbells",Novice
Biceps,Kettlebell Concentration Curl,https://musclewiki.com/kettlebells/male/biceps/kettlebell-concentration-curl,https://musclewiki.com/kettlebells/female/biceps/kettlebell-concentration-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/kettlebells/male/biceps/kettlebell-concentration-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/kettlebells/female/biceps/kettlebell-concentration-curl"">Female</a> Kettlebells",Intermediate
Biceps,Kettlebell Preacher Curl,https://musclewiki.com/kettlebells/male/biceps/kettlebell-preacher-curl,https://musclewiki.com/kettlebells/female/biceps/kettlebell-preacher-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/kettlebells/male/biceps/kettlebell-preacher-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/kettlebells/female/biceps/kettlebell-preacher-curl"">Female</a> Kettlebells",Intermediate
Biceps,Kettlebell Single Arm Curl,https://musclewiki.com/kettlebells/male/biceps/kettlebell-single-arm-curl,https://musclewiki.com/kettlebells/female/biceps/kettlebell-single-arm-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/kettlebells/male/biceps/kettlebell-single-arm-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/kettlebells/female/biceps/kettlebell-single-arm-curl"">Female</a> Kettlebells",Beginner
Biceps,Band Bayesian Curl,https://musclewiki.com/band/male/biceps/band-bayesian-curl,https://musclewiki.com/band/female/biceps/band-bayesian-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/band/male/biceps/band-bayesian-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/band/female/biceps/band-bayesian-curl"">Female</a> Band",Beginner
Biceps,Band Bayesian Hammer Curl,https://musclewiki.com/band/male/biceps/band-bayesian-hammer-curl,https://musclewiki.com/band/female/biceps/band-bayesian-hammer-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/band/male/biceps/band-bayesian-hammer-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/band/female/biceps/band-bayesian-hammer-curl"">Female</a> Band",Intermediate
Biceps,Band Bayesian Reverse Curl,https://musclewiki.com/band/male/biceps/band-bayesian-reverse-curl,https://musclewiki.com/band/female/biceps/band-bayesian-reverse-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/band/male/biceps/band-bayesian-reverse-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/band/female/biceps/band-bayesian-reverse-curl"">Female</a> Band",Beginner
Biceps,Dumbbell Reverse Curl,https://musclewiki.com/dumbbells/male/biceps/dumbbell-reverse-curl,https://musclewiki.com/dumbbells/female/biceps/dumbbell-reverse-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/male/biceps/dumbbell-reverse-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/dumbbells/female/biceps/dumbbell-reverse-curl"">Female</a> Dumbbells",Novice
Biceps,Barbell Reverse Curl,https://musclewiki.com/barbell/male/biceps/barbell-reverse-curl,https://musclewiki.com/barbell/female/biceps/barbell-reverse-curl,"<a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/barbell/male/biceps/barbell-reverse-curl"">Male</a><span class=""ltr:ml-2 rtl:me-2 hidden sm:block"">|</span><a class=""ltr:ml-2 rtl:me-2 text-xs sm:text-base mx-auto"" href=""/barbell/female/biceps/barbell-reverse-curl"">Female</a> Barbell",Advanced
